Job_Name,Company,City,Job_type,Employees,Followers,Applicants,Industry,Level,Involvment,skills,Job_skills,skills_skills,Class
Data Modeler,Virtusa,Bengaluru,Hybrid,0.538614821,0.205449748,200,Information Technology & Services , Mid-Senior level,Full-time ,data modelingsqlmodeler,"'data', 'model', 'sql', 'python', 'retail banking knowledge', 'big data', 'jira', 'confluence'",'data',Class 1
AGM – Business Development ( Distributor Market – APAC ),Intas Pharmaceuticals,Ahmedabad,On-site,0.538614821,0.141131253,200,Pharmaceuticals , Mid-Senior level,Full-time ,apac business business development business relationship management competitive intelligence management operations supply chain management tenders travel,"'ensure topline', 'ebidta', 'key', 'liaise'","'apac', 'business business'",Class 1
Business Analyst - Data Warehouse & Business Intelligence,Antal International,Navi Mumbai,On-site,0.053909953,0.020846719,34,Staffing & Recruiting , Mid-Senior level,Full-time ,mysqlbusiness analysis business logic business requirements creative problem solving critical thinking data marts data models requirements gathering thinking skills,"'business analyst', 'willingness', 'learn', 'enterprise data', 'business intelligence architecture', 'lead business', 'experience', 'be', 'algorithms', 'strong', 'excellent', 'strong', 'highly', 'microsoft', 'microsoft visio', 'experience', 'mysql', 'experience', 'data marts', 'data', 'involved', 'uml', 'write', 'bachelor', 'mba', 'top'","'mysqlbusiness', 'analysis business logic business requirements creative problem solving critical thinking data marts data models requirements gathering thinking skills'",Class 2
SE II Python(Django) Developer,Modivcare,Bengaluru,Hybrid,0.538614821,0.015293713,200,Hospital & Health Care , Mid-Senior level,Full-time ,mysqlpython (programming language)sqlamazon web services (aws) continuous integration and continuous delivery (ci/cd) django kubernetes memcached microservices object-oriented programming (oop),"'software', 'engineer iimandatory skills', 'python', 'django', 'awsmodivcare', 'software engineer', 'modivcare', 'software', 'design', 'delivery team', 'agile', 'scrum', 'quality assurance', 'bachelors degree', 'agile', 'python', 'django', 'python', 'python', 'python', 'asynchronous design', 'micro services', 'redis', 'celery', 'elastisearch', 'restful', 'relational', 'oracle', 'mysql', 'nosql', 'dynamodb', 'aws'","'mysqlpython', 'sqlamazon', 'aws', 'continuous integration', 'continuous delivery', 'django kubernetes memcached microservices', 'oop'",Class 1
Assistant Manager-Ops - Healthcare,WNS,Visakhapatnam,On-site,0.538614821,0.388848095,188,Outsourcing/Offshoring , Mid-Senior level,Full-time ,customer relationship management (crm) healthcare information security standards managing workflow medical billing network security service-level agreements (sla) standard operating procedure (sop),"'company', 'descriptionwns', 'holdings', 'limited', 'nyse', 'business process management', 'bpm', 'travel', 'insurance', 'banking', 'financial services', 'manufacturing', 'retail', 'consumer packaged goods', 'shipping', 'logistics', 'healthcare', 'bpm', 'slas', 'sops', 'minimum academic', 'medical', 'must'","'customer', 'relationship management', 'crm', 'healthcare information security standards managing workflow medical billing network security', 'sla', 'standard operating procedure', 'sop'",Class 1
Senior DevOps Engineer,Terrascope,Bengaluru,Hybrid,0.002746661,0.000768701,125,Computer Software , Mid-Senior level,Full-time ,python (programming language)ansible bash continuous integration and continuous delivery (ci/cd) devops java javascript powershell software development terraform,"'design', 'devsecops', 'iac', 'design', 'design', 'devsecops', 'iac', 'build', 'uat', 'deep', 'kpi', 'identify', 'design', 'design', 'saas', 'design', 'design', 'design', 'incident', 'deep', 'stem', 'devops', 'iac', 'deep', 'google deployment manager', 'kubernetes config connector', 'terraform strong', 'python', 'go', 'java', 'deep', 'deep', 'highly', 'google analytics', 'strong', 'python', 'bash', 'javascript', 'ruby', 'powershell', 'enjoy'","'python', 'ansible bash continuous', 'continuous delivery', 'devops java', 'javascript powershell software'",Class 2
Technology Manager,STARTRADER,Bangalore Urban district,On-site,0.010825075,0.002363469,123,Financial Services ,Mid-Senior level,Full-time,application security commodities cyber-security data security domain management it projects information technology network security pages web applications,"'company', 'introductionstartrader', 'cfds', 'purposethe', 'uae', 'crm', 'maintains', 'develops', 'oversees', 'develops', 'bachelor', 'degree', 'information', 'itexperience', 'systemsexpertise', 'solutionsa', 'colleaguesstrong', 'network', 'unify', 'cisco', 'dual link', 'pabx', 'network', 'crm', 'domain'","'domain management', 'information technology network'",Class 2
Excellent opportunity for Adops Analyst,Annalect India,Greater Bengaluru Area,Hybrid,0.053909953,0.016062414,200,Marketing & Advertising , Associate,Full-time ,analytical skillsanalyticscommunicationaccounting standards negotiation optimization revenue recognition team leadership teamwork technical specs,"'setup', 'google campaign manager', 'sizmek', 'adform', 'quality', 'execute', 'analyze', 'sop', 'troubleshoot', 'capability', 'support team lead', 'quality', 'trafficking', 'execute', 'analyze', 'sop', 'troubleshoot', 'capability', 'support team lead'",'skillsanalyticscommunicationaccounting standards negotiation',Class 2
Full Stack Engineer,Amelia,Bengaluru,On-site,0.053909953,0.005897201,200,Computer Software , Associate,Full-time ,angular core java full-stack development hibernate java javascript maven node.js react.js spring framework,"'design', 'architecture', 'strong core java', 'spring', 'hibernate', 'mandatory', 'react', 'strong', 'strong', 'demonstrate', 'ability', 'review', 'transversal analysis', 'architecture', 'develop', 'work', 'apis', 'r', 'flexible', 'comfortable'","'angular', 'core java'",Class 2
Business Systems Analyst Specialist,FIS,Pune,On-site,0.538614821,0.517186783,73,Information Technology & Services , Mid-Senior level,Full-time ,communicationbusiness requirements business systems analysis computer science functional requirements prioritize workload release notes systems analysis training manuals user stories,"'business', 'bcom', 'communication', 'confidence', 'experience', 'work', 'work', 'attend', 'work', 'analyze', 'poc', 'pm', 'ability', 'should', 'ability', 'a', 'fis'","'communicationbusiness requirements', 'business systems analysis computer science functional requirements prioritize workload release notes systems analysis'",Class 3
Cloud Tech Lead-PAAS,Hanu Software,Noida,Hybrid,0.026981904,0.009178522,33,Information Technology & Services , Mid-Senior level,Full-time ,microsoft sql serversqlasp.net angularjs c# continuous integration and continuous delivery (ci/cd) javascript test driven development web applications windows communication foundation (wcf),"'provide', 'collaborate', 'enterprise architects', 'adhere', 'help', 'worker role', 'appfabric services', 'acs', 'caching', 'service bus', 'drives', 'scaling', 'solid c', 'sql', 'azure', 'deployment', 'tfs', 'mvc', 'wcf', 'linq', 'web services', 'jquery', 'ajax', 'angular', 'reactjs', 'typescript', 'experience', 'mvvm', 'angularjs', 'reactjs', 'expertise', 'web applications', 'windows', 'experience', 'sql', 'stored procedures', 'user defined functions', 'views', 'experience', 'sdlc', 'tdd', 'experience', 'devops', 'ability'","'microsoft', 'sql', 'continuous integration', 'continuous delivery', 'javascript test driven', 'wcf'",Class 2
Sales Development Representative_ Enterprise SaaS Sales,Lucidity,Bengaluru,Hybrid,0.000592417,0.000481872,145,Computer Software ,Mid-Senior level,Full-time,enterprise technology sales hunter international sales outbound sales saas sales sales sales development sales targets software as a service (saas),"'role', 'sales development representative', 'enterprise us', 'usabout', 'bits pilani', 'iim bangalore', 'nit', 'microsoft', 'swiggy', 'tracxn', 'india', 'dolucidity', 'development', 'sdr', 'us', 'enterprise', 'enterprise', 'enterprise', 'outreach', 'sdr', 'sdrs', 'needmust', 'havesleverage b2b', 'saas', 'us', 'mentalitycapable', 'us', 'eur', 'uswere'","'enterprise', 'technology sales hunter', 'saas sales sales sales development sales targets software', 'service', 'saas'",Class 2
Business Applications Support,Valeo,Chennai,On-site,0.538614821,0.416475447,70,Automotive , Entry level,Full-time ,application support business analysis business applications databases functional design itil system administration technical support traceability troubleshooting,"'assist', 'physical flow', 'inbound', 'assist', 'barflow system', 'lead', 'barflow', 'interface', 'barflow champion', 'ssc', 'group', 'assist', 'mes systems', 'traceability', 'ensure', 'shop floor functions', 'communicate', 'barcode', 'barcode competency', 'implement', 'drp', 'perform barflow administrator activities', 'patch', 'provide level', 'barflow', 'create', 'barcode', 'provide training', 'barcode', 'work', 'itc', 'sap business', 'process', 'external', 'research', 'corporate knights'",'system administration technical support traceability',Class 1
MS SQL Server DBA,Jade Global,Pune,On-site,0.053909953,0.017691602,95,Information Technology & Services , Entry level,Full-time ,microsoft sql serversqlapplication security backup & restore data integrity data migration database management system (dbms) database security databases security information and event management (siem),"'liaise', 'ability', 'test', 'work', 'ist', 'attend', 'raise', 'document process', 'design', 'microsoft', 'mssql', 'excellent', 'tuning', 'iops', 'datafile', 'cloud', 'gcp cloud', 'aws', 'azure mssql', 'excellent', 'cloud', 'gcp', 'excellent', 'ready', 'ist'","'microsoft', 'sql', 'restore data integrity data migration database', 'dbms', 'database security databases security', 'siem'",Class 2
HRIS Workday Specialist,Critical Mention - an Onclusive company,Navi Mumbai,Hybrid,0.053909953,0.001617715,123,Computer Software , Mid-Senior level,Full-time ,analytical skillscommunicationmicrosoft excelproblem solvingattention to detail human resources (hr) human resources information systems (hris) project management requirements gathering stakeholder management,"'hr', 'overall', 'mi', 'load', 'hris', 'support', 'hris', 'hcm', 'absence', 'performance', 'improve', 'keep', 'maintain gdpr', 'hris function', 'data privacy', 'hr', 'keep hr', 'hr', 'hr systems', 'advanced', 'ability', 'dependable', 'excellent'","'skillscommunicationmicrosoft', 'detail human resources', 'human resources information systems', 'hris', 'stakeholder management'",Class 2
Tableau Developer,EXL,Gurugram,Hybrid,0.538614821,0.315764112,200,Information Technology & Services , Mid-Senior level,Full-time ,sqlalteryx dashboard sql server integration services (ssis) tableau talend,"'develop', 'tableau dashboards', 'creating dimensions', 'measures', 'calculations', 'tableau', 'sql', 'strong', 'tableau', 'assist', 'candidate', 'etl'","'sqlalteryx', 'dashboard sql server', 'ssis', 'tableau talend'",Class 1
Senior SQL Database Administrator,Adatis,Pune,On-site,0.002746661,0.00149151,61,Information Technology & Services , Mid-Senior level,Full-time ,business intelligence (bi)data analyticssqldata warehousing databases etl tools report design sql database sql server integration services (ssis) sql server reporting services (ssrs),"'design', 'ssrs', 'gather', 'collaborate', 'troubleshoot', 'optimize', 'create', 'stay', 'ssrs', 'design', 'etl', 'ssis', 'work', 'performance', 'ssis', 'elicit', 'work', 'ssrs', 'power bi', 'sql server', 'ssrs', 'excellent', 'strong', 'sql server', 'experience', 'ssrs', 'strong', 'experience', 'experience', 'etl', 'ssis', 'strong', 'strong', 'azure devops', 'qa', 'experience', 'azure', 'vm', 'experience', 'dax', 'power bi', 'business intelligence', 'experience', 'experience', 'agile'","'business', 'intelligence', 'data analyticssqldata', 'ssis', 'sql server', 'ssrs'",Class 2
IT Sales Assistant,Codingmart Technologies,Bengaluru,On-site,0.010825075,0.001778339,105,Computer Software ,Mid-Senior level,Full-time,customer relationship management (crm) databases it sales information research lead generation market analysis outbound sales sales sales metrics sales operations,"'assist', 'daily', 'linkedin', 'assist', 'update customer', 'cross', 'sales teams', 'assist', 'ensure', 'latest', 'market', 'cold calls', 'linkedin', 'prior', 'crm', 'location', 'bangalore', 'coimbatore', 'coimbatore'","'customer', 'relationship management', 'crm', 'market analysis outbound', 'metrics sales operations'",Class 2
Business Development Associate,BYJU'S,Mumbai,On-site,0.538614821,0.407687012,8,E-learning ,Mid-Senior level,Full-time,business business development compensation inside sales learning performance metrics quality auditing sales teamwork training programs,"'read', 'only for', 'business development associate', 'bda', 'centre', 'madhya pradesh', 'lpa variable pay', 'hr team', 'upon', 'bda', 'sales', 'inr', 'lpa variable pay', 'atp', 'crt', 'ojt', 'incentives', 'bda', 'lpa variable pay', 'byjus', 'byjus', 'byjus', 'mondays', 'byjus', 'byjus', 'india', 'team'","'business', 'business development compensation', 'performance metrics quality'",Class 1
ASSOCIATE FINANCIAL ANALYST - 8314,Extreme Networks,Chennai,Hybrid,0.053909953,0.042106471,68,Computer Software , Entry level,Full-time ,communicationchannel partners organization skills pivot tables process efficiency rebates revenue accounting spoken english spreadsheets variance analysis,"'minimum', 'oracle', 'sfdc', 'classic', 'e2open', 'incorta', 'excellent', 'english', 'vlookup', 'pivot', 'ability', 'exhibit', 'desire', 'ability', 'proven', 'perform', 'monthly', 'produce', 'e2open', 'utilize e2open crm', 'ppi', 'understand', 'distribution partners', 'analyze', 'ber', 'produce', 'perform', 'support', 'assist', 'model', 'works'","'communicationchannel partners organization skills pivot tables', 'rebates revenue accounting spoken english spreadsheets variance analysis'",Class 2
Analytics and Modeling Specialist,Accenture in India,Gurgaon,On-site,0.538614821,0.490626434,19,Information Technology & Services , Mid-Senior level,Full-time ,analyticsad hoc reporting business insights business reviews delivery management operations,"'skill', 'specialistjob', 'experience', 'yearsabout', 'accentureaccenture', 'strategy', 'technology', 'operations', 'accenture', 'advanced technology', 'intelligent operations', 'analytics', 'biz ops leads', 'job', 'stepsprovide', 'requestsimplement', 'feedbackuse', 'delivery', 'needsresponsible', 'analytics', 'biz ops leads', 'job', 'stepsprovide', 'requestsimplement', 'feedbackuse', 'delivery', 'needsresponsible', 'quotroles and', 'responsibilitiesthe analytics', 'biz ops leads', 'job', 'stepsprovide', 'requestsimplement', 'feedbackuse', 'delivery', 'needsresponsible'",'analyticsad hoc',Class 3
Director - Cost Management,Ohmium,Bengaluru,On-site,0.010825075,0.003614043,200,Renewables & Environment , Mid-Senior level,Full-time ,cogs cost management cost reduction cost savings cost-benefit analysis cross functional relationships negotiation strategic planning strategic sourcing vendor negotiation,"'ohmium', 'ohmium', 'us', 'san', 'usa', 'chennai india', 'ohmium', 'india', 'pem', 'bangalore', 'india', 'america', 'india', 'europe', 'middle', 'proton exchange membrane', 'pem', 'ohmium', 'pem', 'ohmium', 'pem', 'iit', 'india', 'central electrochemical research institute', 'cecri', 'india', 'politecnico', 'torino university', 'italy', 'comillas pontifical university', 'spain'","'cogs cost management cost', 'savings', 'cross functional relationships'",Class 2
CONSULTANT - INTELLIGENT AUTOMATION PRACTICE,ResultsCX,Bengaluru,Hybrid,0.538614821,0.097120239,101,Outsourcing/Offshoring , Mid-Senior level,Full-time ,business requirements computer science design design documents robotic process automation (rpa) solution architecture technical solution design test cases uipath virtual teams,"'interpret', 'smes', 'process maps', 'rpa tool', 'ia', 'solution', 'test cases', 'core', 'interpret', 'queues', 'exception handling', 'interact', 'smes', 'be', 'resultscx', 'ia', 'proven', 'computer', 'uipath', 'uipath', 'uipth', 'advanced certification', 'solution architect'","'business requirements', 'computer science', 'robotic process automation', 'rpa', 'solution architecture technical solution'",Class 1
Business Development Associate,Able,Bengaluru,On-site,0.002746661,0.000745755,148,Computer Software ,Mid-Senior level,Full-time,communicationbusiness development enrollments inside sales sales sales processes,"'job', 'anjali', 'india', 'bangalore', 'able jobs', 'business development', 'indians', 'amazon', 'flipkart', 'icici bank', 'inr', 'y combinator', 'meesho', 'zepto', 'groww', 'razorpay', 'elevation capital', 'paytm', 'swiggy', 'urban company', 'sharechat', 'meesho', 'able jobs', 'hardworkingroles', 'able', 'sales'",'communicationbusiness',Class 2
Database Administrator,Bottomline Technologies,Bengaluru,On-site,0.053909953,0.027271684,168,Computer Software , Associate,Full-time ,python (programming language)sqlbash data guard data migration database administration linux live upgrade postgresql shell scripting,"'work', 'application development', 'monitor', 'oracle', 'mysql', 'participate', 'aws', 'develop', 'sql', 'plsql', 'manage', 'improve', 'administer', 'mongodb', 'postgres db', 'aws', 'implement', 'bachelor', 'computer science', 'engineering', 'oracle', 'good', 'shell', 'oracle or', 'dba', 'oracle', 'good', 'oracle data guard', 'rac', 'postgresql', 'alwayson', 'patroni', 'postgres', 'amazon web services', 'aws', 'solid', 'linux', 'ability', 'good'","'python', 'sqlbash data guard data', 'linux live upgrade', 'shell'",Class 2
Business Development Executive,"NimbleWork, Inc. (formerly Digité)",Bengaluru,Hybrid,0.002746661,0.002501147,145,Information Technology & Services , Associate,Full-time ,communicationbusiness business development business-to-business (b2b) consultative selling customer relationship management (crm) evidence negotiation presentation skills sales,"'indian', 'candidate', 'nimblework', 'inc.', 'digité', 'brand', 'entire account', 'india', 'track', 'candidate', 'should', 'cxos', 'mba', 'experience'","'communicationbusiness', 'business development', 'customer relationship management', 'crm'",Class 2
Oracle Database Administrator,ITC Infotech,Bangalore Urban,Hybrid,0.538614821,0.15593162,124,Information Technology & Services , Mid-Senior level,Full-time ,sqlcloud computing database administration databases oracle database oracle database administration windows windows server,"'daysoracle', 'handson', 'l3'",'sqlcloud',Class 1
Business Systems Analyst,Equinix Asia-Pacific,Bengaluru,Full-time,0.269334339,0.005610372,16,Computer Software ,Mid-Senior level,Full-time,communicationbusiness process business requirements business systems analysis documentation indirect taxation process modeling technical design test cases vendor negotiation,"'vertex', 'work', 'finance', 'tax', 'responsible', 'vertex', 'indirect tax returns', 'support', 'prepare functional', 'vertex', 'erp', 'vertex', 'vertex', 'vertex api', 'vertex', 'erp', 'execute vertex', 'support tax', 'vertex', 'experience', 'partners', 'partners', 'manages', 'guides', 'responsible', 'bsas', 'follows', 'develops', 'owns', 'ensures', 'keeps', 'owns', 'defines', 'manages', 'ensures', 'develops', 'brings', 'documents', 'supports', 'triages', 'gts', 'rca', 'slas', 'smes', 'sme', 'ensures', 'manages', 'manages', 'provides', 'supports', 'engineering', 'business', 'expert', 'vertex', 'experience', 'oracle fusion tax', 'brazil', 'india', 'experience', 'procure', 'process'","'communicationbusiness', 'process business requirements business systems analysis documentation indirect taxation'",Class 2
Associate Growth Partner (AGP),MarketsandMarkets™,Pune,Hybrid,0.053909953,0.02099587,200,Market Research , Associate,Full-time ,business development complex sales consultative selling enterprise technology sales internal sales international sales sales sales management sales pipeline management value selling,"'generate', 'mnm', 'ensure', 'identify', 'collaborate', 'research', 'client services', 'leverage crm', 'manage', 'maintain', 'attend'","'business', 'development complex sales consultative', 'enterprise technology', 'sales internal', 'sales international', 'sales management', 'sales pipeline'",Class 2
Student Advisor,ALLEN Digital,Hyderabad,Hybrid,0.010825075,0.002420835,50,E-learning , Executive,Full-time ,career counseling cold calling customer relationship management (crm) education educational technology negotiation point of sale (pos) systems relationship building sales telugu,"'allen', 'digital', 'allen career institute pvt', 'edtech b2c', 'industrylanguage preference', 'english', 'telugu', 'job', 'database', 'post sales', 'crm'","'career', 'crm', 'education educational technology', 'sale', 'pos', 'systems relationship building', 'sales telugu'",Class 2
Business System Analyst Specialist,FIS,Bengaluru,On-site,0.538614821,0.517186783,51,Information Technology & Services , Mid-Senior level,Full-time ,analytical skillscommunicationproblem solvingbusiness requirements business systems functional specifications interpersonal skills requirement specifications supplier evaluation user requirements,"'elicit', 'translate', 'formulates', 'includes', 'influences', 'analyzes', 'identifies', 'analyzes', 'business analyst', 'software sdlc', 'testing', 'analysis', 'experience', 'core', 'payment', 'cards', 'schemes', 'knowledge', 'sql', 'a', 'fis'","'skillscommunicationproblem', 'solvingbusiness requirements business systems functional specifications', 'skills requirement specifications supplier evaluation user'",Class 3
"IT Analyst, Engineering",The World Bank,Chennai,Hybrid,0.538614821,0.25891464,120,International Trade & Development , Mid-Senior level,Full-time ,problem solvingactive directory amazon web services (aws) incident management linux microsoft azure servicenow splunk troubleshooting unix,"'world bank', 'world bank', 'international bank', 'reconstruction', 'development', 'ibrd', 'international development association', 'ida', 'world bank', 'technology solutions', 'its', 'wbg', 'bank group', 'its', 'world bank', 'bank group', 'bank group', 'bank group', 'bank group', 'engineering', 'itssm', 'aws', 'azure clouds', 'chef', 'terraform', 'azure devops', 'coe', 'center', 'excellence', 'infrastructure', 'automation', 'devops', 'world bank', 'sdo', 'servicenow', 'bank', 'bank', 'world bank group', 'azure', 'wbg', 'authorized', 'cloud', 'access', 'user', 'active', 'verbal', 'written'","'problem', 'solvingactive', 'amazon web services', 'aws', 'incident management linux microsoft azure', 'splunk troubleshooting unix'",Class 1
Analyst (Research),Edelman DXI,Mumbai,Hybrid,0.010825075,0.005151446,136,Research , Mid-Senior level,Full-time ,communicationdata analyticsdata interpretation market research media evaluation qualitative research report writing sap erp secondary research social media measurement,"'fresh', 'bachelor', 'highly', 'detail-oriented', 'excellent', 'excellent', 'english', 'proficiency', 'microsoft', 'word', 'excel', 'pp', 'outlook', 'experience', 'advanced', 'laise', 'support', 'assist', 'assist', 'assist'","'communicationdata', 'analyticsdata interpretation market'",Class 2
Customer Support Specialist - Technical,Red Hat,Bengaluru,On-site,0.538614821,0.229394218,87,Computer Software ,Mid-Senior level,Full-time,communicationproblem solvingcustomer satisfaction customer service customer support customer-focused service quality assurance red hat certified engineer (rhce) technical support troubleshooting,"'jobthe red', 'gls', 'customer support specialist', 'bangalore', 'india', 'learner experience', 'red', 'youll', 'red', 'doprovide', 'live chat', 'red hat online', 'online learning', 'exercisescreate virtual trainings', 'chatcollaborate', 'red', 'studentsperform', 'red', 'red hat', 'english', 'skillspremium customer service skills and prior', 'role experiencecommand', 'linuxred hat', 'rhcsa', 'red', 'rhce', 'shell'","'communicationproblem', 'solvingcustomer satisfaction customer service customer', 'rhce', 'technical support'",Class 1
Assistant Manager (FP&A),AG&P Pratham,Chennai,On-site,0.026981904,0.003419,153,Utilities , Mid-Senior level,Full-time ,analytical skillsmicrosoft excelaccount reconciliation annual reports cross-functional team leadership gas distribution microsoft powerpoint sap products statutory statutory accounting principles (sap),"'senior manager', 'perform gl', 'review', 'tds', 'pf', 'payroll', 'thoroughly', 'review', 'sap', 'ensure', 'need', 'kpi', 'develop', 'perform', 'must', 'city gas distribution', 'high'","'skillsmicrosoft', 'annual reports', 'microsoft', 'powerpoint', 'sap'",Class 2
Home Consultant,WorkIndia,Bengaluru,On-site,0.026981904,0.008100046,138,Information Technology & Services ,Mid-Senior level,Full-time,presentationsproblem solvingb2c business growth business-to-business (b2b) customer engagement negotiation relationship building sales sales targets,"'job', 'home consultant', 'b2c', 'b2b', 'achieve', 'sales', 'store administration', 'merchandisedesired skills', 'client service', 'detail', 'works', 'strong', 'customer', 'ability', 'able', 'pan india', 'bangalore', 'delhi', 'mumbai', 'hyderabad', 'ahmedabad', 'chennai', 'chandigarh', 'vadodara', 'kolkata'",'solvingb2c business growth',Class 2
Deputy Manager - DP Compliance,Biocon Biologics,Bengaluru,On-site,0.269334339,0.040293713,119,Biotechnology , Mid-Senior level,Full-time ,"construction safety environment, health, and safety (ehs) environmental management systems industrial safety injections negotiation occupational health project planning team leadership training","'experience', 'injectable', 'post graduate', 'maco', 'cleaning', 'cleaning', 'annual', 'equipment', 'investigation', 'fill finish'","'safety environment', 'health', 'safety', 'ehs', 'environmental management systems industrial safety injections negotiation occupational'",Class 2
Manager,PKF SRIDHAR & SANTHANAM LLP,Delhi,On-site,0.026981904,0.007113355,142,Accounting , Mid-Senior level,Full-time ,communicationmicrosoft excelaccounting standards auditing english internal audits internal controls microsoft powerpoint microsoft word report writing,"'develop', 'ensure', 'ensure', 'ensure', 'conduct', 'continuous', 'effective communication', 'human relations', 'good', 'report', 'internal', 'internal audit', 'icai', 'practices', 'critical thinking', 'ability', 'excellent english language', 'proficiency', 'microsoft', 'outlook', 'word', 'excel', 'powerpoint', 'excellent', 'ability', 'audit committees', 'boards', 'strong', 'data analytics', 'minimum', 'internal audit function', 'ca', 'use', 'software', 'caats', 'acl', 'audit command', 'idea'","'communicationmicrosoft', 'microsoft', 'powerpoint microsoft word'",Class 2
Search Engine Optimization Manager,Buildmyplace.com,Gurugram,On-site,0.002746661,1.15E-05,176,Retail ,Mid-Senior level,Full-time,analytical skillsanalyticscommunicationkeyword research marketing optimization oral communication search engine optimization (seo) search engine ranking search engines,"'develop', 'seo', 'conduct', 'monitor', 'stay', 'seo', 'collaborate', 'provide', 'seo', 'marketing', 'communications', 'minimum', 'seo', 'seo', 'strong', 'excellent', 'english', 'ability'","'skillsanalyticscommunicationkeyword research', 'engine optimization', 'seo', 'search engine ranking search engines'",Class 2
Regular Modelling Analyst,NielsenIQ,Baroda,On-site,0.538614821,0.223646168,67,Information Services , Mid-Senior level,Full-time ,analyticscommunicationpython (programming language)sqlbenchmarking bespoke data quality documentation nielsen data panel data,"'work', 'nielsen consumer panel data', 'survey analysis', 'work', 'work', 'junior', 'uats', 'use', 'python', 'be', 'degree', 'experience', 'python', 'sql'","'analyticscommunicationpython', 'bespoke data quality'",Class 1
Data Report Production Associate,BlackRock,Gurgaon,Hybrid,0.538614821,0.291268931,28,Financial Services ,Mid-Senior level,Full-time,communicationproblem solvingclient requirements continuous integration quality control robotic process automation (rpa) summaries trend analysis unix visual basic for applications (vba),"'analyze', 'blackrock', 'leading', 'constantly', 'use', 'blackrocks', 'excel', 'proven', 'python', 'vba', 'sql', 'rpa', 'strong', 'agile', 'jira', 'git', 'continuous integration', 'project management', 'nice', 'experience', 'nosql database', 'apache cassandra', 'building', 'react', 'angular', 'strong', 'tech', 'strong', 'ability', 'excellent', 'strong', 'sharp'","'communicationproblem', 'solvingclient requirements continuous', 'robotic process automation', 'rpa', 'analysis unix visual basic', 'applications', 'vba'",Class 1
Team Leader,iDeCK - Infrastructure Development Corporation (Karnataka) Ltd.,Hassan,On-site,0.000592417,0.001812758,45,Management Consulting , Mid-Senior level,Contract ,airport construction change orders design drawings electrical testing leadership order management project teams safety audits steel structures team leadership,"'pmc', 'tl', 'responsible', 'project quality plan', 'safety plan', 'responsible', 'responsible', 'pmc', 'final', 'ideck bangalore', 'provide', 'architect', 'maintain', 'provide', 'govt', 'responsible', 'pmc', 'responsible', 'responsible', 'dlp', 'indian', 'govt', 'india', 'minimum'","'airport', 'steel structures team leadership'",Class 2
Senior Quality Assurance Manager,Contractor+,Mumbai,Hybrid,0.000592417,0.000298302,141,Internet ,Mid-Senior level,Full-time,api testing amazon web services (aws) appium browserstack clickup jmeter quality assurance quality improvement selenium test automation,"'coordinate', 'report', 'cto', 'tech lead', 'learn', 'adopt', 'improve', 'qa', 'implement qa', 'devops', 'dont', 'bugs', 'ocd', 'quality', 'must', 'automation', 'able', 'mumbai', 'extensive', 'extensive', 'jmeter', 'experience', 'api', 'postman', 'sufficient', 'aws', 'browserstack', 'bugsnag', 'clickup project'","'api', 'amazon web services', 'aws', 'appium browserstack clickup'",Class 2
Assistant Manager,SKIL Corporate Travel,Bengaluru,On-site,0.002746661,0.001181735,200,Hospitality ,Mid-Senior level,Full-time,business development destination management hospitality hotel booking international operations operations operations management skilled multi-tasker time management travel management,"'manager', 'cabs operationscompany link', 'process', 'ensure', 'organization', 'time management skills', 'skil travel', 'complete hospitality solutions company', 'bangalore', 'new delhi', 'chennai', 'pune', 'hyderabad', 'business travel management', 'leisure travel', 'india', 'skil'","'business', 'development', 'travel management'",Class 2
SQL Database Administrator,FIS,Mumbai,On-site,0.538614821,0.517186783,104,Information Technology & Services , Mid-Senior level,Full-time ,sqlbackup & recovery systems database servers databases online transaction processing (oltp) optimization performance tuning query tuning sql database server administration,"'manage', 'sql server', 'configure', 'independently', 'refine', 'assist', 'perform', 'share', 'draft', 'review', 'face', 'sql', 'performance tuning', 'optimization', 'pto', 'high availability', 'disaster recovery', 'sql server', 'windows', 'active directory', 'ability', 'mcts', 'mcitp', 'mvp', 'sql servers', 'apply', 'sql server', 'configure high', 'configure', 'setup maintenance', 'backups', 'database', 'update', 'work', 'handle', 'integration', 'qa', 'uat', 'oltp', 'sql', 'a', 'fis'","'sqlbackup', 'recovery systems database servers databases online transaction', 'oltp'",Class 3
Data Engineer (Mosaic Data Services ),Siemens Energy,Gurgaon,On-site,0.538614821,0.36099128,40,Renewables & Environment , Associate,Full-time ,"communicationdata scienceextract, transform, load (etl)computer science core java data engineering databases etl tools java linux","'core', 'data', 'databases', 'etl', 'etl tools', 'java', 'rdms', 'graph dbs', 'good', 'bachelor', 'degree', 'computer science', 'strong rdmbs skills', 'snowflake', 'oracle', 'python', 'etl tools', 'talend', 'cicd', 'experience', 'linux', 'strong', 'medical', 'time', 'parental', 'continual', 'learn'","'communicationdata', 'scienceextract', 'transform', 'load', 'etl', 'computer science core java data'",Class 1
